Our_tra	Our_test	Traditional FL_tra	Traditional FL_test	FL + mobile_tra	FL + mobile_test	Centralized Learning_tra	Centralized Learning_test
0.01048	0.0104	0.01002	0.0101	0.012	0.0112	0.06792	0.0646
0.01188	0.0117	0.01988	0.0207	0.0248	0.024	0.10392	0.1133
0.0523	0.0573	0.04594	0.0491	0.05832	0.0648	0.13222	0.1437
0.09394	0.0982	0.07062	0.0683	0.08942	0.0949	0.16688	0.1797
0.13634	0.1412	0.08638	0.0875	0.10124	0.1083	0.19458	0.201
0.15454	0.1581	0.10196	0.0992	0.11538	0.1222	0.23428	0.2351
0.20136	0.2067	0.11074	0.1111	0.13178	0.136	0.25532	0.2614
0.20484	0.2109	0.11754	0.1142	0.15792	0.1597	0.28598	0.2802
0.24704	0.2558	0.12036	0.1227	0.15844	0.1598	0.31494	0.3118
0.27088	0.2676	0.12836	0.1245	0.16902	0.1649	0.35046	0.3272
0.29816	0.3015	0.13382	0.1274	0.17864	0.1784	0.36112	0.3371
0.30664	0.3032	0.13886	0.14	0.1894	0.1851	0.39026	0.3549
0.3196	0.3152	0.1464	0.1441	0.19358	0.1912	0.4048	0.3607
0.35012	0.3405	0.1465	0.1497	0.20764	0.2019	0.4137	0.366
0.35946	0.3533	0.1532	0.1516	0.21382	0.208	0.4107	0.3687
0.38758	0.3735	0.15574	0.1525	0.2139	0.2082	0.43386	0.3671
0.40678	0.395	0.15228	0.1539	0.22956	0.2204	0.46802	0.3973
0.41556	0.3892	0.16342	0.1561	0.23508	0.2236	0.44494	0.3722
0.4332	0.4071	0.16804	0.1612	0.25216	0.2334	0.4661	0.3854
0.44646	0.4222	0.16976	0.1655	0.25066	0.2294	0.49216	0.3889
0.46446	0.4297	0.15708	0.1515	0.26108	0.236	0.50058	0.3882
0.47828	0.4414	0.17388	0.1711	0.26556	0.2443	0.50856	0.4016
0.49014	0.4512	0.18002	0.1709	0.27708	0.2472	0.50812	0.3925
0.50658	0.4579	0.1847	0.1756	0.2772	0.2519	0.53068	0.4075
0.51718	0.4635	0.18566	0.1783	0.28374	0.2584	0.51348	0.3886
0.5278	0.4704	0.18614	0.1719	0.2951	0.2631	0.5424	0.4049
0.52864	0.4706	0.18512	0.1687	0.29948	0.263	0.53528	0.3961
0.53902	0.4776	0.18764	0.1777	0.30796	0.2683	0.54532	0.4107
0.54586	0.4765	0.19044	0.1771	0.31138	0.2724	0.49616	0.3786
0.54294	0.4789	0.19636	0.1788	0.3182	0.2749	0.498	0.3908
0.56084	0.4825	0.20114	0.1866	0.32712	0.277	0.53062	0.3984
0.56168	0.485	0.20394	0.1884	0.32832	0.2789	0.54938	0.4097
0.56364	0.48	0.20516	0.1864	0.33058	0.2772	0.52868	0.392
0.5735	0.478	0.20356	0.1862	0.34518	0.2865	0.53802	0.3946
0.57772	0.4912	0.2079	0.1929	0.34444	0.2856	0.55358	0.4133
0.5804	0.4875	0.21486	0.1919	0.35078	0.2886	0.55938	0.404
0.58704	0.4935	0.20676	0.1879	0.35504	0.2889	0.53164	0.4055
0.58442	0.4856	0.21124	0.1885	0.35564	0.2932	0.54434	0.398
0.59696	0.4886	0.20978	0.1895	0.35882	0.2885	0.57142	0.4143
0.59656	0.4932	0.2122	0.1906	0.36488	0.2922	0.55814	0.4036
0.59648	0.4921	0.21602	0.1927	0.37126	0.2963	0.55678	0.4144
0.61394	0.4941	0.21802	0.1989	0.38052	0.2989	0.53318	0.3878
0.60824	0.4934	0.22192	0.1959	0.38108	0.2972	0.55534	0.4015
0.61552	0.499	0.2224	0.1945	0.38222	0.3012	0.57156	0.4056
0.61264	0.4952	0.21534	0.1885	0.38654	0.3016	0.52592	0.3885
0.6084	0.4961	0.22514	0.1941	0.38592	0.3036	0.5541	0.3993
0.62218	0.5001	0.2249	0.1974	0.3929	0.3045	0.55136	0.4012
0.62312	0.4964	0.22642	0.1979	0.39508	0.3052	0.55464	0.4072
0.61486	0.4968	0.23078	0.1993	0.40098	0.3024	0.54926	0.4078
0.61596	0.4953	0.23154	0.2007	0.39818	0.3004	0.55688	0.3985
0.6175	0.4966	0.23298	0.2022	0.40304	0.3032	0.57184	0.4075
0.62216	0.5022	0.22908	0.1996	0.4079	0.3024	0.57392	0.397
0.62864	0.5028	0.23934	0.2046	0.40822	0.3014	0.5677	0.4087
0.63392	0.5031	0.23212	0.1994	0.40546	0.3008	0.5692	0.4007
0.62566	0.4991	0.23372	0.1987	0.41368	0.3076	0.5504	0.3984
0.62886	0.5002	0.24006	0.1974	0.4115	0.3076	0.58828	0.4103
0.63086	0.5024	0.23538	0.1968	0.41768	0.3087	0.5788	0.4095
0.6293	0.5029	0.24094	0.2021	0.42124	0.3095	0.58824	0.4118
0.63604	0.5026	0.24678	0.2044	0.4156	0.3091	0.56022	0.3993
0.63188	0.4956	0.24344	0.2044	0.42406	0.3117	0.56258	0.3925
0.63548	0.5041	0.24008	0.2015	0.42308	0.3067	0.5838	0.4137
0.63328	0.5023	0.2488	0.2092	0.42274	0.3135	0.56464	0.3909
0.6355	0.502	0.24384	0.2016	0.42056	0.3085	0.56494	0.407
0.63646	0.5022	0.24328	0.1984	0.42814	0.3105	0.5576	0.3864
0.63242	0.5014	0.25366	0.2055	0.42616	0.3096	0.56692	0.4018
0.64038	0.5006	0.24128	0.1993	0.43184	0.3116	0.5835	0.4018
0.63328	0.5025	0.25412	0.2056	0.42582	0.3069	0.56398	0.4006
0.63748	0.4978	0.25122	0.2051	0.42956	0.3089	0.58396	0.421
0.63206	0.4997	0.25276	0.2051	0.43586	0.3103	0.55346	0.3871
0.6416	0.5015	0.25686	0.2032	0.433	0.3139	0.58348	0.3973
0.63796	0.4976	0.2482	0.1976	0.43618	0.3127	0.5668	0.4021
0.62436	0.4974	0.25706	0.2039	0.43706	0.3167	0.55736	0.3848
0.64136	0.4991	0.25704	0.2044	0.43516	0.3147	0.55698	0.3858
0.63386	0.4947	0.25934	0.2096	0.44104	0.3132	0.57838	0.3953
0.63622	0.5026	0.25964	0.2069	0.444	0.3201	0.56178	0.4009
0.6381	0.5	0.26348	0.2049	0.43922	0.311	0.56822	0.4041
0.635	0.5035	0.26136	0.2085	0.4389	0.3173	0.57144	0.4046
0.6452	0.5042	0.25768	0.1999	0.44014	0.3197	0.5812	0.4093
0.64318	0.5027	0.26852	0.2114	0.43882	0.319	0.57838	0.4111
0.63618	0.4967	0.26392	0.2076	0.44538	0.3214	0.56676	0.396
0.64038	0.499	0.26558	0.2099	0.44452	0.3196	0.56558	0.3967
0.63806	0.4984	0.26734	0.2067	0.44802	0.3204	0.5724	0.4011
0.64264	0.5017	0.27708	0.2146	0.44388	0.3207	0.57974	0.4021
0.64246	0.4992	0.26194	0.1995	0.44364	0.3169	0.57392	0.3982
0.64118	0.5044	0.27224	0.2104	0.44408	0.3188	0.5754	0.3971
0.64318	0.5017	0.2762	0.2115	0.44794	0.3203	0.5791	0.4057
0.64254	0.5	0.27354	0.2079	0.449	0.319	0.57322	0.4004
0.6334	0.4995	0.27504	0.2096	0.44664	0.3181	0.583	0.411
0.6411	0.4982	0.27218	0.2066	0.45054	0.322	0.56172	0.3954
0.64322	0.5006	0.2833	0.2182	0.44526	0.3169	0.55914	0.3945
0.63492	0.4962	0.27906	0.2133	0.4467	0.3183	0.57078	0.3899
0.63836	0.4988	0.27374	0.2051	0.45058	0.3211	0.58186	0.4126
0.63404	0.4951	0.27732	0.2099	0.45398	0.3244	0.5869	0.4069
0.64544	0.5031	0.27184	0.2073	0.44986	0.3208	0.60886	0.4146
0.64716	0.5004	0.28394	0.2132	0.45274	0.3222	0.59122	0.4189
0.63502	0.4967	0.2669	0.202	0.45396	0.3235	0.56152	0.393
0.63192	0.4964	0.28178	0.2122	0.44812	0.3179	0.56696	0.3969
0.63948	0.499	0.27702	0.2077	0.4519	0.3194	0.57618	0.4027
0.63856	0.5012	0.28936	0.2127	0.45052	0.3236	0.58324	0.3986
0.63898	0.497	0.27624	0.2085	0.45324	0.3242	0.56864	0.3997
