Our_tra,Our_test,Traditional FL_tra,Traditional FL_test,FL + mobile_tra,FL + mobile_test,Centralized Learning_tra,Centralized Learning_test
0.019893392,0.021377672,0.019893392,0.021377672,0.016679844,0.011243072,0.205565049,0.160253365
0.024152618,0.024940618,0.019026244,0.023198733,0.05126374,0.052256532,0.363487975,0.2949327
0.096049376,0.088598575,0.021143105,0.019714964,0.125787447,0.100791766,0.598281007,0.504988124
0.201509857,0.157323832,0.093039863,0.071813143,0.326175113,0.295882819,0.759749037,0.631353919
0.520110179,0.429216152,0.09648295,0.089944576,0.346476574,0.289073634,0.810247647,0.688519398
0.708714836,0.602058591,0.167767604,0.141726049,0.380473871,0.34354711,0.861001301,0.727949327
0.790175725,0.683689628,0.17342957,0.154394299,0.526129205,0.488440222,0.871993675,0.748218527
0.789028029,0.682739509,0.140554465,0.121931908,0.501032926,0.453998416,0.884847867,0.761599367
0.600015303,0.531987332,0.253870285,0.205621536,0.574561963,0.519319082,0.888750032,0.772604909
0.797240429,0.697624703,0.209696753,0.180205859,0.646178173,0.580047506,0.910020659,0.798891528
0.863322196,0.759857482,0.349180035,0.301900238,0.70011987,0.642042755,0.940268816,0.816785432
0.899920937,0.788677751,0.202479023,0.199604117,0.739141524,0.670704671,0.940141294,0.804671417
0.915580606,0.80482977,0.359611314,0.323832146,0.759162437,0.695328583,0.931367798,0.801108472
0.928485807,0.814964371,0.310311408,0.290023753,0.75982555,0.696991291,0.944885103,0.811955661
0.932540998,0.819714964,0.406692341,0.352019002,0.792853682,0.737133808,0.934300798,0.804908947
0.93402025,0.821694378,0.433012829,0.371179731,0.805580351,0.739588282,0.920375424,0.791844814
0.941595042,0.826128266,0.436251881,0.395091053,0.812696065,0.743388757,0.928256268,0.805700713
0.935091433,0.811005542,0.478818639,0.435866983,0.811191308,0.749485352,0.930169094,0.815518606
0.945803259,0.82581156,0.520747787,0.448139351,0.815986126,0.758511481,0.953378051,0.829136975
0.949220842,0.831433096,0.545614527,0.490340459,0.82070443,0.752573238,0.952969981,0.842755344
0.945650233,0.82787015,0.469637073,0.447901821,0.795786682,0.735075218,0.953199521,0.839904988
0.953990155,0.833966746,0.557193501,0.491290578,0.829783978,0.770467142,0.938202964,0.819398258
0.95419419,0.836421219,0.446912699,0.408788599,0.818664082,0.755898654,0.950649086,0.833729216
0.957943329,0.835787807,0.544186284,0.49239905,0.82950343,0.768804434,0.945471703,0.834679335
0.960187712,0.84378464,0.634267643,0.573238321,0.837027213,0.776247031,0.949450381,0.829612035
0.955698947,0.837133808,0.435512255,0.384481394,0.836262083,0.772604909,0.954117677,0.834600158
0.956770129,0.84125099,0.487031039,0.442755344,0.840648831,0.773871734,0.938075442,0.8304038
0.958733964,0.843942993,0.613711138,0.555423595,0.764288811,0.699287411,0.938917085,0.8202692
0.962304573,0.844180523,0.63026346,0.57949327,0.838276926,0.776405384,0.946109312,0.83871734
0.95929506,0.842676168,0.623708842,0.562945368,0.83970517,0.775851148,0.884567319,0.760886778
0.962024025,0.847664291,0.543523171,0.502929533,0.796143743,0.719160728,0.659848504,0.567062549
0.962967686,0.847664291,0.651585095,0.590577989,0.839858196,0.77949327,0.952536407,0.852256532
0.962457599,0.848693587,0.65648193,0.580680918,0.8293249,0.772050673,0.959244051,0.84837688
0.96768599,0.853048298,0.648065495,0.594457641,0.840801857,0.777434679,0.795812186,0.673475851
0.967456451,0.849168646,0.667805861,0.603800475,0.844499987,0.785827395,0.952306868,0.845447348
0.966308756,0.851464766,0.698691627,0.644893112,0.833788161,0.776484561,0.951822286,0.85114806
0.966104721,0.852177356,0.609451912,0.55368171,0.845800709,0.789152811,0.974929225,0.881551861
0.963605295,0.846397466,0.644571399,0.592715756,0.845392639,0.78939034,0.936366651,0.823119557
0.968043051,0.859303246,0.698691627,0.644576405,0.848937744,0.790498812,0.962661634,0.862866192
0.965467112,0.849485352,0.722920758,0.670625495,0.848376648,0.792082344,0.971307608,0.868329375
0.969394782,0.859065717,0.713611671,0.642992874,0.848453161,0.787015044,0.966716825,0.86429137
0.96750746,0.854711006,0.701726644,0.631670625,0.850646535,0.793269992,0.960697799,0.855977831
0.967481956,0.854077593,0.725904767,0.652019002,0.850468005,0.790577989,0.948863781,0.839984165
0.96674233,0.851781473,0.689663088,0.626049089,0.843097248,0.785748219,0.971817695,0.867616785
0.966818843,0.853523357,0.738070341,0.664528899,0.843199265,0.788361045,0.972353286,0.86381631
0.965416103,0.853285827,0.733938637,0.67141726,0.846846387,0.786381631,0.94850672,0.842438638
0.967966538,0.859461599,0.739167028,0.677672209,0.831798822,0.779651623,0.961794486,0.861124307
0.968553138,0.861441013,0.748348593,0.688281869,0.849371318,0.796991291,0.960289729,0.85138559
0.971129078,0.861124307,0.73460175,0.667062549,0.854064118,0.79746635,0.933561172,0.814251781
0.969216251,0.855977831,0.75689255,0.690498812,0.852355327,0.794457641,0.961615956,0.856373713
0.968527634,0.851464766,0.75179168,0.684402217,0.852508353,0.797149644,0.960366242,0.852494062
0.967634982,0.854948535,0.756458976,0.69263658,0.851182127,0.801346002,0.956821138,0.850831354
0.967277921,0.852019002,0.765768063,0.698416469,0.846693361,0.794061758,0.953505573,0.830720507
0.967252417,0.856769596,0.708536305,0.645447348,0.818562065,0.76152019,0.946466373,0.832462391
0.972812365,0.864608076,0.736310541,0.67719715,0.850161953,0.797624703,0.950929634,0.837371338
0.969369277,0.862391132,0.760769211,0.681710214,0.852992935,0.800316706,0.95401566,0.849247823
0.967992043,0.855186065,0.754240098,0.696674584,0.852890918,0.801425178,0.946364355,0.835550277
0.969369277,0.860174188,0.745211559,0.675613618,0.853375501,0.798574822,0.948251677,0.841092637
0.970567982,0.859619952,0.754087072,0.685748219,0.852355327,0.798970705,0.945726746,0.838083927
0.971690173,0.855344418,0.74222755,0.674109264,0.853630544,0.797070467,0.956668112,0.835787807
0.967813512,0.859619952,0.751562141,0.68685669,0.852992935,0.800395883,0.963707312,0.847030879
0.971256599,0.862707838,0.717717871,0.655027712,0.825116682,0.769992082,0.953760616,0.845051465
0.971078069,0.856532067,0.748527124,0.685193983,0.8486827,0.799841647,0.957586268,0.852969121
0.969318269,0.856927949,0.710933714,0.655027712,0.850161953,0.799524941,0.950164503,0.83871734
0.971256599,0.863262074,0.756739524,0.688281869,0.855645388,0.806809184,0.915988676,0.801583531
0.971919712,0.862707838,0.764875411,0.696041172,0.854982274,0.805621536,0.95929506,0.844734759
0.970083399,0.865241489,0.729985463,0.669200317,0.854472188,0.801741884,0.968961208,0.863578781
0.972378791,0.865241489,0.752276263,0.679889153,0.849218292,0.794536817,0.938738555,0.822406968
0.968961208,0.860095012,0.769134637,0.698891528,0.84674437,0.796991291,0.955520416,0.837925574
0.971460634,0.862074426,0.704277079,0.647347585,0.83383917,0.771496437,0.942997781,0.83570863
0.971205591,0.864608076,0.760692698,0.688915281,0.855619883,0.807917656,0.953658599,0.844022169
0.972276773,0.865479018,0.759927568,0.691290578,0.843479813,0.783847981,0.945369686,0.834916865
0.970746512,0.864212193,0.767196307,0.700633413,0.853860083,0.801662708,0.941901094,0.834916865
0.968986712,0.864212193,0.736489071,0.659065717,0.855007779,0.802850356,0.949220842,0.832383215
0.972735851,0.861836896,0.759136933,0.693665875,0.855441353,0.805779889,0.967379938,0.863182898
0.970644495,0.861836896,0.772424698,0.71797308,0.855211814,0.803562945,0.966028208,0.851543943
