Our_tra,Our_test,Traditional FL_tra,Traditional FL_test,FL + mobile_tra,FL + mobile_test,Centralized Learning_tra,Centralized Learning_test
0.1258,0.1278,0.1,0.1,0.1,0.1,0.1,0.1
0.1572,0.1572,0.1192,0.1223,0.1002,0.1001,0.1,0.1
0.2613,0.2698,0.1237,0.1291,0.1362,0.1369,0.1952,0.1992
0.2827,0.2811,0.1707,0.1751,0.1748,0.1819,0.2432,0.263
0.3336,0.3308,0.1813,0.1843,0.2,0.2044,0.277,0.2801
0.3683,0.3666,0.2514,0.2475,0.282,0.2802,0.3455,0.344
0.4251,0.4119,0.2972,0.297,0.2861,0.2898,0.3828,0.3805
0.442,0.4335,0.2381,0.2408,0.3034,0.2988,0.4044,0.3977
0.54,0.5153,0.2938,0.2852,0.3646,0.3528,0.4355,0.4214
0.5591,0.5249,0.3008,0.299,0.365,0.3636,0.5048,0.4816
0.6288,0.579,0.3041,0.3053,0.3931,0.3806,0.5082,0.4794
0.6337,0.5692,0.3049,0.2987,0.3995,0.3864,0.5363,0.4957
0.6629,0.5813,0.3078,0.3046,0.3962,0.3835,0.567,0.515
0.7004,0.6178,0.25,0.2492,0.4184,0.3985,0.6445,0.5818
0.709,0.6036,0.3153,0.3117,0.4325,0.4062,0.6574,0.5775
0.7353,0.6357,0.3436,0.3421,0.4305,0.4007,0.6774,0.5995
0.7553,0.6498,0.3288,0.3203,0.4537,0.4225,0.6851,0.6004
0.735,0.6195,0.3214,0.3153,0.4608,0.424,0.7472,0.6486
0.757,0.6401,0.3498,0.3458,0.4646,0.4245,0.6935,0.5969
0.7663,0.6433,0.3248,0.3181,0.4669,0.4248,0.7197,0.6281
0.7332,0.6095,0.3308,0.3182,0.4728,0.4283,0.7361,0.6298
0.7686,0.6407,0.3763,0.36,0.474,0.425,0.7202,0.6103
0.7584,0.6293,0.3329,0.3189,0.4857,0.4331,0.7495,0.6353
0.7862,0.6529,0.3584,0.3464,0.486,0.4342,0.7355,0.6221
0.7662,0.6392,0.3459,0.3305,0.4909,0.4347,0.7435,0.6338
0.763,0.6372,0.368,0.3524,0.4941,0.433,0.7822,0.6628
0.7812,0.6505,0.3574,0.3391,0.5008,0.438,0.797,0.6747
0.7763,0.6383,0.288,0.2833,0.4976,0.4351,0.7812,0.6631
0.7724,0.6438,0.348,0.3335,0.5056,0.4399,0.7979,0.6721
0.7758,0.6362,0.3276,0.3134,0.517,0.4454,0.7886,0.66743
0.7672,0.6316,0.3421,0.3296,0.5199,0.4427,0.7515,0.649
0.7808,0.6483,0.3662,0.3479,0.5156,0.4435,0.763,0.6575
0.8131,0.6688,0.3794,0.3586,0.5225,0.4473,0.821,0.6962
0.7653,0.622,0.348,0.3328,0.5222,0.4459,0.77,0.6586
0.8008,0.667,0.3688,0.345,0.525,0.4468,0.7859,0.6685
0.7855,0.6486,0.3594,0.3415,0.5251,0.4484,0.7794,0.6661
0.7884,0.6571,0.3809,0.3529,0.5285,0.4504,0.826,0.7022
0.7842,0.6476,0.3679,0.3452,0.5317,0.4455,0.8216,0.6943
0.7943,0.662,0.3879,0.3606,0.532,0.4509,0.8159,0.6942
0.8013,0.6704,0.34,0.3226,0.529,0.4493,0.8331,0.71
0.8008,0.6593,0.6231,0.3024,0.5317,0.4505,0.7996,0.6861
0.8048,0.6599,0.3606,0.3379,0.5349,0.4489,0.8348,0.713
0.7917,0.6552,0.3858,0.2588,0.53355,0.4519,0.8135,0.6967
0.7847,0.6527,0.4029,0.363,0.5358,0.4337,0.8273,0.7034
