,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1,0.1269,0.193,0.1845,0.2942,0.2468,0.3943,0.4098,0.4296,0.4735,0.4851,0.5219,0.4797,0.4729,0.5607,0.5825,0.5661,0.6346,0.5421,0.5999,0.6316,0.5896,0.5898,0.6108,0.6213,0.6552,0.6578,0.6796,0.6234,0.6715,0.6875,0.6529,0.6948,0.6581,0.6761,0.696,0.6905,0.7118,0.7106,0.6662,0.7127,0.6917,0.7101,0.7264,0.7307,0.711,0.7227,0.7157,0.7256,0.7237,0.7283,0.7232,0.715,0.7223,0.7229,0.7271,0.7267,0.7126,0.726,0.7237,0.7323,0.7219,0.7283,0.7338,0.723,0.7426,0.7338,0.7326,0.7184,0.7155,0.7227,0.706,0.743,0.7075,0.7331,0.7305,0.7338,0.7449,0.738,0.741,0.7411,0.7481,0.7455,0.7481,0.7414,0.732,0.7479,0.7376,0.7367,0.7471,0.7476,0.7482,0.7567,0.7536,0.7487,0.7463,0.7502,0.7555,0.7444,0.7547
our_tra_accuracy,0.1,0.1245,0.19594,0.18518,0.30022,0.24438,0.40358,0.4274,0.45914,0.50952,0.5283,0.57848,0.53762,0.53374,0.653,0.67418,0.65912,0.74574,0.64558,0.71168,0.74536,0.70524,0.70498,0.733,0.7406,0.782,0.7849,0.8058,0.7377,0.80088,0.8189,0.7825,0.82186,0.78792,0.8095,0.83314,0.82236,0.84332,0.84384,0.80396,0.84608,0.8234,0.84328,0.86098,0.86354,0.84566,0.8583,0.84714,0.85298,0.85668,0.8615,0.85236,0.84428,0.8536,0.8531,0.85266,0.8565,0.8403,0.85712,0.8547,0.86332,0.8514,0.85778,0.86578,0.85048,0.86644,0.85588,0.8577,0.84306,0.83926,0.84972,0.83168,0.86964,0.82614,0.86026,0.85732,0.86016,0.87038,0.86246,0.86558,0.86924,0.86882,0.8681,0.8691,0.8655,0.84728,0.87012,0.85592,0.85326,0.86884,0.87188,0.87316,0.8789,0.87336,0.87012,0.87122,0.87162,0.87894,0.86856,0.87158
rewards,126.6,176.35,230.85,196.15,287.2,243.9,303.75,265.1,228.85,109.75,2.15,72.5,163.65,146.55,126.25,138.25,130.05,118.9,106.65,93.0,106.7,88.45,100.25,91.3,89.65,78.3,78.15,77.25,74.35,74.55,80.05,58.75,67.65,80.2,72.5,70.45,55.2,75.95,64.55,55.0,75.15,70.95,55.55,61.25,60.3,57.65,54.25,42.45,53.6,59.5,40.5,51.3,52.65,61.15,50.6,54.55,50.6,55.55,60.35,62.0,51.55,51.25,36.45,51.2,55.75,53.7,49.35,12.3,49.6,51.35,55.9,45.0,49.4,39.4,44.8,49.65,43.85,44.05,44.25,45.05,48.3,53.15,44.95,48.55,-5.3,46.5,40.95,39.25,37.45,29.75,36.2,37.5,-19.2,45.7,47.45,40.15,46.0,42.15,43.2,38.0
greedy_reward,127.55,217.3,252.9,268.25,275.85,279.25,278.2,267.15,229.9,121.55,-34.4,55.35,90.75,106.1,113.55,117.1,116.1,105.1,67.85,-40.6,-76.8,12.9,48.45,63.75,71.3,74.75,73.85,62.9,25.5,-82.8,-98.45,-8.8,26.7,42.1,49.5,53.0,52.05,41.05,3.7,-104.55,-112.75,-23.0,12.5,27.8,35.35,38.9,37.7,26.75,-10.6,-118.85,-123.55,-33.7,1.75,17.2,24.65,28.0,27.0,16.0,-21.35,-129.75,-132.3,-42.45,-7.05,8.35,16.0,19.45,18.3,7.2,-30.15,-138.4,-139.9,-50.05,-14.5,0.85,8.3,11.85,10.75,-0.15,-37.65,-145.95,-146.65,-56.8,-21.15,-5.9,1.6,5.15,4.0,-7.0,-44.35,-152.75,-152.85,-63.0,-27.5,-12.1,-4.5,-1.05,-2.15,-13.15,-50.5,-158.95
avg_reward,76.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_greedy_reward,15.178499999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
our_accuracy,0.1228,0.1004,0.1109,0.2171,0.3115,0.3372,0.3893,0.4434,0.4311,0.4428,0.4592,0.5092,0.5171,0.5318,0.544,0.5526,0.6272,0.585,0.6608,0.627,0.6103,0.6298,0.6111,0.6188,0.6283,0.6323,0.6103,0.6309,0.6664,0.6426,0.6788,0.7041,0.6926,0.6889,0.6824,0.6717,0.683,0.6938,0.6976,0.6947,0.6531,0.6669,0.6734,0.6875,0.6873,0.654,0.6636,0.6964,0.6763,0.6941,0.7113,0.684,0.6911,0.6875,0.6779,0.7016,0.6885,0.7102,0.704,0.6793,0.6748,0.6812,0.7013,0.6855,0.7099,0.6637,0.6799,0.6918,0.6916,0.6999,0.6771,0.668,0.6403,0.6965,0.6919,0.6955,0.6839,0.677,0.7108,0.6667,0.7233,0.6934,0.6745,0.689,0.7003,0.6658,0.6617,0.7173,0.7192,0.7167,0.6876,0.6963,0.7028,0.7059,0.7361,0.7226,0.7107,0.7076,0.6763,0.6914
our_tra_accuracy,0.12274,0.10008,0.11002,0.21576,0.30706,0.34192,0.39414,0.4517,0.44686,0.46756,0.4927,0.55234,0.56588,0.5839,0.60048,0.62646,0.70256,0.66262,0.75796,0.70802,0.69358,0.7198,0.69502,0.70566,0.72542,0.72368,0.69944,0.72412,0.77778,0.75014,0.79246,0.8241,0.80486,0.80426,0.80046,0.77504,0.79656,0.80938,0.81654,0.80702,0.74578,0.77966,0.7831,0.78568,0.80534,0.75624,0.75796,0.79562,0.78222,0.80834,0.82706,0.79856,0.80568,0.80102,0.78738,0.80918,0.8005,0.81782,0.81548,0.77186,0.7596,0.78754,0.80644,0.7945,0.82066,0.76386,0.78332,0.79532,0.80082,0.8197,0.778,0.76174,0.73162,0.80314,0.802,0.8038,0.78488,0.77358,0.8234,0.76746,0.83244,0.8016,0.77506,0.79672,0.81008,0.75656,0.7555,0.82958,0.8248,0.82766,0.79666,0.80218,0.80438,0.81102,0.8479,0.82954,0.8291,0.81432,0.7652,0.7953
rewards,310.45,384.55,460.9,432.05,467.2,319.65,283.15,272.65,237.4,175.9,198.2,176.45,160.6,181.4,180.6,144.3,130.0,149.65,112.85,121.45,108.6,119.55,114.4,94.4,103.35,94.1,95.2,84.95,97.4,95.0,89.8,85.2,82.2,77.95,85.8,76.4,76.2,70.7,80.25,59.7,77.65,71.45,74.1,74.3,66.55,63.4,61.85,70.35,59.0,65.55,61.5,75.4,61.3,66.15,57.5,55.4,52.85,64.3,53.65,49.6,53.85,53.9,55.8,51.8,59.05,47.8,49.6,54.9,52.15,53.15,53.15,43.4,51.25,53.35,51.95,41.6,50.75,47.85,52.15,46.4,53.3,48.0,52.25,46.3,44.9,47.75,42.15,46.8,47.05,41.5,45.05,43.0,49.35,54.85,-12.25,45.6,54.85,35.9,45.6,36.6
greedy_reward,158.6,217.0,276.15,277.3,270.55,242.3,266.2,224.0,191.45,216.95,182.5,119.35,177.25,158.45,133.1,125.85,127.25,101.15,120.65,89.75,99.85,110.0,106.65,81.25,74.2,85.75,106.0,62.2,69.1,59.1,85.9,76.7,63.85,68.15,85.8,71.4,68.5,53.0,53.75,37.65,73.9,74.55,42.6,56.25,49.8,60.15,59.05,56.75,51.05,33.2,50.6,51.8,26.7,32.0,32.55,64.2,52.6,52.55,40.55,44.75,52.5,35.4,19.9,33.75,40.8,54.45,44.8,9.7,30.2,29.3,20.6,40.45,16.9,38.85,25.6,63.4,22.05,7.5,51.3,22.8,65.1,3.3,15.25,44.15,40.0,31.7,44.2,44.9,60.0,11.5,-7.25,-7.95,30.2,42.95,29.55,23.65,13.9,46.6,47.15,14.35
